dominant_category,orders,gmv,low_reviews,low_review_rate,late_orders,late_rate,severe_late_orders,severe_late_rate,mean_transit_days,order_share_pct,dissatisfaction_share_pct
pet_shop,1673,249572.04,175,10.460251046025103,103,6.1566049013747755,66,3.945008965929468,11.344937238493724,1.7459091668058104,1.4260104302477183
consoles_games,1004,164976.69,111,11.055776892430279,80,7.968127490039841,44,4.382470119521913,13.785617529880478,1.0477542160627817,0.9044980443285527
construction_tools_construction,722,160885.49,92,12.742382271468145,65,9.002770083102494,42,5.8171745152354575,10.78202216066482,0.7534646852563032,0.7496740547588006
luggage_accessories,1010,168348.83,82,8.118811881188119,54,5.346534653465347,32,3.1683168316831685,10.853118811881188,1.054015695441643,0.6681877444589309
home_appliances,744,93043.23,82,11.021505376344086,50,6.720430107526881,24,3.225806451612903,11.30866935483871,0.7764234429787945,0.6681877444589309
home_construction,468,94884.96,74,15.81196581196581,38,8.11965811965812,19,4.05982905982906,13.51690170940171,0.4883953915511771,0.6029986962190352
audio,341,55273.55,73,21.407624633431084,44,12.903225806451612,36,10.557184750733137,13.430410557184752,0.3558607446986141,0.5948500651890483
musical_instruments,601,199355.54,69,11.480865224625623,54,8.985024958402663,32,5.324459234608985,13.112811980033278,0.6271915177826015,0.5622555410691005
small_appliances,602,196334.71,69,11.461794019933555,37,6.146179401993355,19,3.1561461794019934,10.950897009966777,0.6282350976790783,0.5622555410691005
home_confort,352,62440.61,63,17.897727272727273,38,10.795454545454545,30,8.522727272727272,13.753039772727272,0.36734012355985973,0.5133637548891786
furniture_living_room,403,84361.47,55,13.647642679900745,33,8.188585607940446,23,5.707196029776675,13.868114143920597,0.42056269828018034,0.4481747066492829
food,431,34839.44,43,9.976798143851507,43,9.976798143851507,19,4.408352668213457,9.747447795823666,0.4497829353815328,0.35039113428943935
fixed_telephony,209,59250.9,35,16.74641148325359,10,4.784688995215311,7,3.349282296650718,12.393827751196172,0.21810819836366674,0.28520208604954367
air_conditioning,241,59056.76,34,14.107883817427386,9,3.7344398340248963,8,3.319502074688797,11.831286307053942,0.25150275505092673,0.27705345501955675
books_general_interest,488,53805.0,30,6.147540983606557,33,6.762295081967213,23,4.713114754098361,11.509815573770492,0.5092669894807146,0.24445893089960888
market_place,266,32594.14,29,10.902255639097744,13,4.887218045112782,10,3.7593984962406015,12.378383458646617,0.2775922524628486,0.23631029986962193
home_appliances_2,226,118023.62,28,12.389380530973451,16,7.079646017699115,12,5.3097345132743365,13.880752212389382,0.2358490566037736,0.22816166883963493
drinks,281,26858.97,27,9.608540925266903,19,6.761565836298933,12,4.270462633451958,10.405587188612099,0.29324595091000166,0.22001303780964798
kitchen_dining_laundry_garden_furniture,235,56646.43,25,10.638297872340425,11,4.680851063829787,8,3.404255319148936,11.975319148936169,0.24524127567206547,0.20371577574967406
fashion_shoes,229,27246.1,25,10.91703056768559,14,6.11353711790393,8,3.4934497816593884,15.745633187772926,0.2389797962932042,0.20371577574967406
books_technical,253,22832.15,24,9.486166007905137,28,11.067193675889328,16,6.324110671936759,10.672727272727272,0.2640257138086492,0.1955671447196871
industry_commerce_and_business,226,45101.81,22,9.734513274336283,18,7.964601769911504,11,4.867256637168142,10.820265486725663,0.2358490566037736,0.17926988265971316
construction_tools_lights,226,45058.48,20,8.849557522123893,21,9.29203539823009,10,4.424778761061947,9.681371681415929,0.2358490566037736,0.16297262059973924
food_drink,218,19266.97,9,4.128440366972478,14,6.422018348623854,6,2.7522935779816518,10.879128440366973,0.2275004174319586,0.07333767926988266
