corridor,orders,gmv,mean_distance_km,late_orders,late_rate,severe_late_orders,severe_late_rate,low_reviews,low_review_rate,median_delay_days,median_duration_days,order_share_pct,dissatisfaction_share_pct
SP -> PA,674,134462.77,2319.7511182782046,86,12.759643916913946,71,10.534124629080118,122,18.100890207715135,-15.09,20.905,0.7033728502254133,0.9941329856584094
SP -> MA,488,87596.03,2177.9130181921346,101,20.69672131147541,74,15.163934426229508,109,22.33606557377049,-9.184999999999999,19.475,0.5092669894807146,0.8882007822685788
PR -> MG,817,160309.59,881.1020755267821,42,5.140758873929008,23,2.8151774785801713,96,11.75030599755202,-15.26,12.18,0.8526047754216063,0.7822685788787485
RJ -> RJ,943,193944.87,55.25105663808528,60,6.362672322375397,29,3.0752916224814424,93,9.862142099681867,-11.98,5.15,0.9840958423776923,0.7578226857887875
SC -> RJ,463,90366.32,785.5096371571371,46,9.935205183585314,35,7.559395248380129,83,17.92656587473002,-13.34,13.05,0.48317749206879285,0.6763363754889179
SP -> MT,645,114524.18,1344.342945854386,41,6.3565891472868215,26,4.0310077519379846,79,12.248062015503876,-14.34,15.63,0.6731090332275839,0.64374185136897
SP -> MS,476,84718.04,808.5767997845343,69,14.495798319327733,43,9.033613445378151,73,15.336134453781513,-11.13,14.03,0.4967440307229921,0.5948500651890483
SP -> AL,253,50389.1,1902.7692610626177,65,25.691699604743086,55,21.73913043478261,61,24.110671936758894,-8.27,22.95,0.2640257138086492,0.4970664928292047
SC -> MG,424,92651.82,948.2103692486537,21,4.952830188679245,11,2.5943396226415096,58,13.679245283018867,-15.405000000000001,13.09,0.4424778761061947,0.47262059973924386
PR -> RS,579,100329.35,628.5189246523606,30,5.181347150259067,19,3.281519861830743,58,10.01727115716753,-13.17,12.08,0.6042327600601102,0.47262059973924386
RJ -> MG,545,116614.06,378.9607740185858,37,6.7889908256880735,19,3.486238532110092,58,10.642201834862385,-13.03,10.13,0.5687510435798965,0.47262059973924386
PR -> PR,708,115321.27,218.28667368542472,31,4.378531073446328,12,1.694915254237288,56,7.909604519774012,-11.22,7.25,0.738854566705627,0.45632333767926986
SP -> PI,325,62609.37,2016.287825728887,59,18.153846153846153,44,13.538461538461538,55,16.923076923076923,-12.38,16.77,0.3391634663549842,0.4481747066492829
SP -> PB,333,81914.54,2163.4514827898624,36,10.81081081081081,26,7.807807807807808,53,15.915915915915916,-13.27,18.76,0.3475121055267991,0.431877444589309
RS -> SP,664,133419.86,860.7088379059246,15,2.2590361445783134,5,0.7530120481927711,49,7.379518072289157,-18.475,8.46,0.6929370512606445,0.39928292046936115
MG -> BA,364,55450.74,1048.1697923055744,37,10.164835164835164,30,8.241758241758241,48,13.186813186813188,-12.265,14.96,0.37986308231758226,0.3911342894393742
SP -> RN,329,67980.82,2259.999528025602,39,11.854103343465045,26,7.90273556231003,44,13.37386018237082,-13.28,17.83,0.34333778594089165,0.35853976531942633
SP -> SE,208,42677.33,1724.035070310628,34,16.346153846153847,29,13.942307692307693,41,19.71153846153846,-11.399999999999999,17.83,0.21706461846718986,0.33409387222946546
PR -> SC,389,68491.72,386.20948675129915,25,6.426735218508997,16,4.113110539845758,39,10.025706940874036,-12.43,11.48,0.4059525797295041,0.31779661016949157
RS -> RJ,236,55523.05,1120.0397991064074,20,8.47457627118644,12,5.084745762711865,36,15.254237288135593,-15.239999999999998,11.065000000000001,0.24628485556854232,0.29335071707953064
RJ -> PR,201,45235.14,824.6565390796974,17,8.45771144278607,14,6.965174129353234,35,17.412935323383085,-14.14,10.97,0.2097595591918517,0.28520208604954367
MG -> RS,277,46249.73,1250.136788429549,14,5.054151624548736,11,3.9711191335740073,33,11.913357400722022,-15.37,15.72,0.2890716313240942,0.2689048239895697
DF -> SP,307,41911.87,822.2518863948211,9,2.9315960912052117,5,1.6286644951140066,33,10.749185667752444,-12.41,9.34,0.32037902821840036,0.2689048239895697
SC -> RS,289,52315.49,420.0331944862805,17,5.88235294117647,7,2.422145328719723,31,10.726643598615917,-12.32,11.22,0.30159459008181666,0.2526075619295958
MG -> SC,250,42511.04,909.0376535871242,21,8.4,10,4.0,31,12.4,-12.495000000000001,15.149999999999999,0.2608949741192185,0.2526075619295958
MG -> PR,363,57509.340000000004,812.0584384861913,7,1.9283746556473829,4,1.1019283746556474,29,7.988980716253444,-14.32,11.8,0.37881950242110535,0.23631029986962193
PR -> BA,141,40408.83,1758.800131960489,23,16.312056737588655,19,13.47517730496454,27,19.148936170212767,-12.05,18.25,0.14714476540323929,0.22001303780964798
RJ -> RS,197,39490.72,1181.642058053064,19,9.644670050761421,15,7.614213197969544,27,13.705583756345177,-11.39,13.86,0.20558523960594421,0.22001303780964798
SP -> TO,197,44045.88,1479.6394834457913,25,12.690355329949238,18,9.137055837563452,27,13.705583756345177,-12.15,15.92,0.20558523960594421,0.22001303780964798
MA -> SP,122,15265.16,2331.663166655495,30,24.59016393442623,23,18.852459016393443,22,18.0327868852459,-9.695,13.395,0.12731674737017865,0.17926988265971316
