dominant_seller,order_count,total_gmv,seller_state,mean_freight,mean_review,low_review_rate,eligible_deliveries,late_delivery_rate,mean_delay_days,late_rate_pct,low_review_rate_pct,statistically_reliable
3d871de0142ce09b7081e2b9d1733cb1,1067,116801.48,SP,20.91253983130272,4.170454545454546,0.10871602624179943,1051,0.05994291151284492,-12.331179828734538,5.994291151284492,10.871602624179943,True
3d8fa2f5b647373c8620330c4e077a9f,43,4471.889999999999,SP,19.331627906976745,4.166666666666667,0.13953488372093023,42,0.023809523809523836,-10.793809523809525,2.3809523809523836,13.953488372093023,True
3da38366e7bd9baf6369071f782ecdf0,1,86.43,CE,26.96,1.0,1.0,1,1.0,6.92,100.0,100.0,False
3db66a856d18a9cba7c9241fc5221c50,94,11561.91,MG,21.95329787234043,4.202127659574468,0.10638297872340426,94,0.11702127659574468,-11.121702127659574,11.702127659574469,10.638297872340425,True
3dbbce181edfaa4a597ec858c382d2ec,17,1288.57,PR,25.898235294117647,4.235294117647059,0.11764705882352941,17,0.11764705882352944,-9.049999999999999,11.764705882352944,11.76470588235294,False
3dc69bf2c42f0568a5c4791ec3fd3745,2,334.43,SP,17.215,4.0,0.0,1,0.0,-0.14,0.0,0.0,False
3ded4e2d5f135cb103e5949d7263d2dd,1,62.379999999999995,MG,12.48,5.0,0.0,1,0.0,-16.2,0.0,0.0,False
3df020b72d3d44b3af9d110fa3940b65,55,6953.16,SP,32.552,4.054545454545455,0.14545454545454545,55,0.12727272727272732,-10.466545454545454,12.727272727272732,14.545454545454545,True
3dfd3dc96f7f8598eca74e9ac8a2fa31,6,296.23,SP,15.721666666666666,4.0,0.16666666666666666,6,0.16666666666666663,-9.631666666666666,16.666666666666664,16.666666666666664,False
3e35a8bb43569389d3cebef0ce820f69,1,84.67999999999999,SP,28.88,5.0,0.0,1,0.0,-9.26,0.0,0.0,False
3e46a38ee171c503c3b4a3f23fe3bf0c,1,69.00999999999999,SP,9.11,5.0,0.0,1,0.0,-8.26,0.0,0.0,False
